onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
3.0,4.0,78,F#5,1.0,0,1,4.0,clarinet1
4.0,4.5,69,A4,0.5,0,1,5.0,clarinet1
8.0,9.0,76,E5,1.0,0,2,4.0,clarinet1
9.0,9.5,69,A4,0.5,0,2,5.0,clarinet1
13.0,14.0,74,D5,1.0,0,3,4.0,clarinet1
14.0,14.5,69,A4,0.5,0,3,5.0,clarinet1
18.0,19.0,73,C#5,1.0,0,4,4.0,clarinet1
19.0,19.5,69,A4,0.5,0,4,5.0,clarinet1
23.0,24.0,78,F#5,1.0,0,5,4.0,clarinet1
24.0,24.5,70,A#4,0.5,0,5,5.0,clarinet1
28.0,29.0,74,D5,1.0,0,6,4.0,clarinet1
29.0,29.5,71,B4,0.5,0,6,5.0,clarinet1
33.0,34.0,80,G#5,1.0,0,7,4.0,clarinet1
34.0,34.5,68,G#4,0.5,0,7,5.0,clarinet1
35.0,35.5,79,G5,0.5,0,8,1.0,clarinet1
40.0,41.0,54,F#3,1.0,0,9,1.0,clarinet1
41.0,42.0,55,G3,1.0,0,9,2.0,clarinet1
42.0,42.333333333333336,57,A3,1/3,0,9,3.0,clarinet1
127/3,128/3,55,G3,1/3,0,9,10/3,clarinet1
128/3,43,57,A3,1/3,0,9,11/3,clarinet1
43.0,44.0,59,B3,1.0,0,9,4.0,clarinet1
44.0,45.0,61,C#4,1.0,0,9,5.0,clarinet1
45.0,46.0,62,D4,1.0,0,10,1.0,clarinet1
46.0,47.0,59,B3,1.0,0,10,2.0,clarinet1
47.0,50.0,61,C#4,3.0,0,10,3.0,clarinet1
50.0,51.0,57,A3,1.0,0,11,1.0,clarinet1
51.0,52.0,59,B3,1.0,0,11,2.0,clarinet1
52.0,52.333333333333336,61,C#4,1/3,0,11,3.0,clarinet1
157/3,158/3,59,B3,1/3,0,11,10/3,clarinet1
158/3,53,61,C#4,1/3,0,11,11/3,clarinet1
53.0,54.0,62,D4,1.0,0,11,4.0,clarinet1
54.0,55.0,64,E4,1.0,0,11,5.0,clarinet1
55.0,56.0,66,F#4,1.0,0,12,1.0,clarinet1
56.0,57.0,62,D4,1.0,0,12,2.0,clarinet1
57.0,60.0,64,E4,3.0,0,12,3.0,clarinet1
60.0,61.0,64,E4,1.0,0,13,1.0,clarinet1
61.0,62.0,66,F#4,1.0,0,13,2.0,clarinet1
62.0,62.333333333333336,64,E4,1/3,0,13,3.0,clarinet1
187/3,188/3,66,F#4,1/3,0,13,10/3,clarinet1
188/3,63,64,E4,1/3,0,13,11/3,clarinet1
63.0,64.0,62,D4,1.0,0,13,4.0,clarinet1
64.0,65.0,61,C#4,1.0,0,13,5.0,clarinet1
65.0,65.5,59,B3,0.5,0,14,1.0,clarinet1
65.75,66.0,61,C#4,0.25,0,14,1.75,clarinet1
66.0,66.5,59,B3,0.5,0,14,2.0,clarinet1
66.75,67.0,58,A#3,0.25,0,14,2.75,clarinet1
67.0,70.0,59,B3,3.0,0,14,3.0,clarinet1
70.0,71.0,62,D4,1.0,0,15,1.0,clarinet1
71.0,72.0,64,E4,1.0,0,15,2.0,clarinet1
72.0,72.33333333333333,62,D4,1/3,0,15,3.0,clarinet1
217/3,218/3,64,E4,1/3,0,15,10/3,clarinet1
218/3,73,62,D4,1/3,0,15,11/3,clarinet1
73.0,74.0,61,C#4,1.0,0,15,4.0,clarinet1
74.0,75.0,59,B3,1.0,0,15,5.0,clarinet1
75.0,75.5,57,A3,0.5,0,16,1.0,clarinet1
75.75,76.0,59,B3,0.25,0,16,1.75,clarinet1
76.0,76.5,57,A3,0.5,0,16,2.0,clarinet1
76.75,77.0,56,G#3,0.25,0,16,2.75,clarinet1
77.0,77.5,57,A3,0.5,0,16,3.0,clarinet1
83.0,84.0,78,F#5,1.0,0,1,4.0,clarinet1
84.0,84.5,69,A4,0.5,0,1,5.0,clarinet1
88.0,89.0,76,E5,1.0,0,2,4.0,clarinet1
89.0,89.5,69,A4,0.5,0,2,5.0,clarinet1
93.0,94.0,74,D5,1.0,0,3,4.0,clarinet1
94.0,94.5,69,A4,0.5,0,3,5.0,clarinet1
98.0,99.0,73,C#5,1.0,0,4,4.0,clarinet1
99.0,99.5,69,A4,0.5,0,4,5.0,clarinet1
103.0,104.0,78,F#5,1.0,0,5,4.0,clarinet1
104.0,104.5,70,A#4,0.5,0,5,5.0,clarinet1
108.0,109.0,74,D5,1.0,0,6,4.0,clarinet1
109.0,109.5,71,B4,0.5,0,6,5.0,clarinet1
113.0,114.0,80,G#5,1.0,0,7,4.0,clarinet1
114.0,114.5,68,G#4,0.5,0,7,5.0,clarinet1
115.0,115.5,79,G5,0.5,0,8,1.0,clarinet1
120.0,121.0,54,F#3,1.0,0,9,1.0,clarinet1
121.0,122.0,55,G3,1.0,0,9,2.0,clarinet1
122.0,122.33333333333333,57,A3,1/3,0,9,3.0,clarinet1
367/3,368/3,55,G3,1/3,0,9,10/3,clarinet1
368/3,123,57,A3,1/3,0,9,11/3,clarinet1
123.0,124.0,59,B3,1.0,0,9,4.0,clarinet1
124.0,125.0,61,C#4,1.0,0,9,5.0,clarinet1
125.0,126.0,62,D4,1.0,0,10,1.0,clarinet1
126.0,127.0,59,B3,1.0,0,10,2.0,clarinet1
127.0,130.0,61,C#4,3.0,0,10,3.0,clarinet1
130.0,131.0,57,A3,1.0,0,11,1.0,clarinet1
131.0,132.0,59,B3,1.0,0,11,2.0,clarinet1
132.0,132.33333333333334,61,C#4,1/3,0,11,3.0,clarinet1
397/3,398/3,59,B3,1/3,0,11,10/3,clarinet1
398/3,133,61,C#4,1/3,0,11,11/3,clarinet1
133.0,134.0,62,D4,1.0,0,11,4.0,clarinet1
134.0,135.0,64,E4,1.0,0,11,5.0,clarinet1
135.0,136.0,66,F#4,1.0,0,12,1.0,clarinet1
136.0,137.0,62,D4,1.0,0,12,2.0,clarinet1
137.0,140.0,64,E4,3.0,0,12,3.0,clarinet1
140.0,141.0,64,E4,1.0,0,13,1.0,clarinet1
141.0,142.0,66,F#4,1.0,0,13,2.0,clarinet1
142.0,142.33333333333334,64,E4,1/3,0,13,3.0,clarinet1
427/3,428/3,66,F#4,1/3,0,13,10/3,clarinet1
428/3,143,64,E4,1/3,0,13,11/3,clarinet1
143.0,144.0,62,D4,1.0,0,13,4.0,clarinet1
144.0,145.0,61,C#4,1.0,0,13,5.0,clarinet1
145.0,145.5,59,B3,0.5,0,14,1.0,clarinet1
145.75,146.0,61,C#4,0.25,0,14,1.75,clarinet1
146.0,146.5,59,B3,0.5,0,14,2.0,clarinet1
146.75,147.0,58,A#3,0.25,0,14,2.75,clarinet1
147.0,150.0,59,B3,3.0,0,14,3.0,clarinet1
150.0,151.0,62,D4,1.0,0,15,1.0,clarinet1
151.0,152.0,64,E4,1.0,0,15,2.0,clarinet1
152.0,152.33333333333334,62,D4,1/3,0,15,3.0,clarinet1
457/3,458/3,64,E4,1/3,0,15,10/3,clarinet1
458/3,153,62,D4,1/3,0,15,11/3,clarinet1
153.0,154.0,61,C#4,1.0,0,15,4.0,clarinet1
154.0,155.0,59,B3,1.0,0,15,5.0,clarinet1
155.0,155.5,57,A3,0.5,0,16,1.0,clarinet1
155.75,156.0,59,B3,0.25,0,16,1.75,clarinet1
156.0,156.5,57,A3,0.5,0,16,2.0,clarinet1
156.75,157.0,56,G#3,0.25,0,16,2.75,clarinet1
157.0,157.5,57,A3,0.5,0,16,3.0,clarinet1
160.0,160.5,57,A3,0.5,0,16,1.0,clarinet1
160.75,161.0,59,B3,0.25,0,16,1.75,clarinet1
161.0,161.5,57,A3,0.5,0,16,2.0,clarinet1
161.75,162.0,56,G#3,0.25,0,16,2.75,clarinet1
162.0,164.5,57,A3,2.5,0,16,3.0,clarinet1
165.5,166.0,57,A3,0.5,0,17,1.5,clarinet1
166.0,166.5,61,C#4,0.5,0,17,2.0,clarinet1
166.5,167.0,64,E4,0.5,0,17,2.5,clarinet1
167.0,167.5,69,A4,0.5,0,17,3.0,clarinet1
170.5,171.0,57,A3,0.5,0,18,1.5,clarinet1
171.0,171.5,62,D4,0.5,0,18,2.0,clarinet1
171.5,172.0,66,F#4,0.5,0,18,2.5,clarinet1
172.0,172.5,69,A4,0.5,0,18,3.0,clarinet1
175.5,176.0,57,A3,0.5,0,19,1.5,clarinet1
176.0,176.5,62,D4,0.5,0,19,2.0,clarinet1
176.5,177.0,66,F#4,0.5,0,19,2.5,clarinet1
177.0,177.5,69,A4,0.5,0,19,3.0,clarinet1
180.5,181.0,57,A3,0.5,0,20,1.5,clarinet1
181.0,181.5,61,C#4,0.5,0,20,2.0,clarinet1
181.5,182.0,64,E4,0.5,0,20,2.5,clarinet1
182.0,182.5,69,A4,0.5,0,20,3.0,clarinet1
185.5,186.0,57,A3,0.5,0,21,1.5,clarinet1
186.0,186.5,61,C#4,0.5,0,21,2.0,clarinet1
186.5,187.0,64,E4,0.5,0,21,2.5,clarinet1
187.0,187.5,69,A4,0.5,0,21,3.0,clarinet1
190.5,191.0,57,A3,0.5,0,22,1.5,clarinet1
191.0,191.5,62,D4,0.5,0,22,2.0,clarinet1
191.5,192.0,66,F#4,0.5,0,22,2.5,clarinet1
192.0,192.5,69,A4,0.5,0,22,3.0,clarinet1
195.5,196.0,61,C#4,0.5,0,23,1.5,clarinet1
196.0,196.5,65,E#4,0.5,0,23,2.0,clarinet1
196.5,197.0,68,G#4,0.5,0,23,2.5,clarinet1
197.0,197.5,73,C#5,0.5,0,23,3.0,clarinet1
200.5,201.0,66,F#4,0.5,0,24,1.5,clarinet1
201.0,201.5,69,A4,0.5,0,24,2.0,clarinet1
201.5,202.0,73,C#5,0.5,0,24,2.5,clarinet1
202.0,202.5,78,F#5,0.5,0,24,3.0,clarinet1
205.0,206.0,64,E4,1.0,0,25,1.0,clarinet1
206.0,207.0,71,B4,1.0,0,25,2.0,clarinet1
207.0,207.33333333333334,71,B4,1/3,0,25,3.0,clarinet1
622/3,623/3,69,A4,1/3,0,25,10/3,clarinet1
623/3,208,71,B4,1/3,0,25,11/3,clarinet1
208.0,209.0,69,A4,1.0,0,25,4.0,clarinet1
209.0,210.0,67,G4,1.0,0,25,5.0,clarinet1
210.0,210.5,66,F#4,0.5,0,26,1.0,clarinet1
210.75,211.0,64,E4,0.25,0,26,1.75,clarinet1
211.0,211.5,66,F#4,0.5,0,26,2.0,clarinet1
211.75,212.0,67,G4,0.25,0,26,2.75,clarinet1
212.0,215.0,66,F#4,3.0,0,26,3.0,clarinet1
215.0,216.0,66,F#4,1.0,0,27,1.0,clarinet1
216.0,217.0,62,D4,1.0,0,27,2.0,clarinet1
217.0,218.0,66,F#4,1.0,0,27,3.0,clarinet1
218.0,219.0,67,G4,1.0,0,27,4.0,clarinet1
