onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
24.0,24.75,65,F4,0.75,0,7,1.0,englishhorn
24.75,25.0,68,A-4,0.25,0,7,1.75,englishhorn
25.0,26.0,68,A-4,1.0,0,7,2.0,englishhorn
26.0,26.75,65,F4,0.75,0,7,3.0,englishhorn
26.75,27.0,63,E-4,0.25,0,7,3.75,englishhorn
27.0,28.0,61,D-4,1.0,0,7,4.0,englishhorn
28.0,28.75,63,E-4,0.75,0,8,1.0,englishhorn
28.75,29.0,65,F4,0.25,0,8,1.75,englishhorn
29.0,29.75,68,A-4,0.75,0,8,2.0,englishhorn
29.75,30.0,65,F4,0.25,0,8,2.75,englishhorn
30.0,32.0,63,E-4,2.0,0,8,3.0,englishhorn
32.0,32.75,65,F4,0.75,0,9,1.0,englishhorn
32.75,33.0,68,A-4,0.25,0,9,1.75,englishhorn
33.0,34.0,68,A-4,1.0,0,9,2.0,englishhorn
34.0,34.75,65,F4,0.75,0,9,3.0,englishhorn
34.75,35.0,63,E-4,0.25,0,9,3.75,englishhorn
35.0,36.0,61,D-4,1.0,0,9,4.0,englishhorn
36.0,36.5,63,E-4,0.5,0,10,1.0,englishhorn
36.5,37.0,65,F4,0.5,0,10,1.5,englishhorn
37.0,37.75,63,E-4,0.75,0,10,2.0,englishhorn
37.75,38.0,61,D-4,0.25,0,10,2.75,englishhorn
38.0,40.0,61,D-4,2.0,0,10,3.0,englishhorn
40.0,40.75,70,B-4,0.75,0,11,1.0,englishhorn
40.75,41.0,73,D-5,0.25,0,11,1.75,englishhorn
41.0,42.0,73,D-5,1.0,0,11,2.0,englishhorn
42.0,42.5,72,C5,0.5,0,11,3.0,englishhorn
42.5,43.0,68,A-4,0.5,0,11,3.5,englishhorn
43.0,44.0,70,B-4,1.0,0,11,4.0,englishhorn
44.0,44.5,70,B-4,0.5,0,12,1.0,englishhorn
44.5,45.0,73,D-5,0.5,0,12,1.5,englishhorn
45.0,45.5,72,C5,0.5,0,12,2.0,englishhorn
45.5,46.0,68,A-4,0.5,0,12,2.5,englishhorn
46.0,48.0,70,B-4,2.0,0,12,3.0,englishhorn
48.0,48.75,70,B-4,0.75,0,13,1.0,englishhorn
48.75,49.0,73,D-5,0.25,0,13,1.75,englishhorn
49.0,50.0,73,D-5,1.0,0,13,2.0,englishhorn
50.0,50.5,72,C5,0.5,0,13,3.0,englishhorn
50.5,51.0,68,A-4,0.5,0,13,3.5,englishhorn
51.0,52.0,70,B-4,1.0,0,13,4.0,englishhorn
52.0,52.5,70,B-4,0.5,0,14,1.0,englishhorn
52.5,53.0,73,D-5,0.5,0,14,1.5,englishhorn
53.0,53.5,72,C5,0.5,0,14,2.0,englishhorn
53.5,54.0,68,A-4,0.5,0,14,2.5,englishhorn
54.0,56.0,70,B-4,2.0,0,14,3.0,englishhorn
56.0,56.75,65,F4,0.75,0,15,1.0,englishhorn
56.75,57.0,68,A-4,0.25,0,15,1.75,englishhorn
57.0,58.0,68,A-4,1.0,0,15,2.0,englishhorn
58.0,58.5,65,F4,0.5,0,15,3.0,englishhorn
58.5,59.0,63,E-4,0.5,0,15,3.5,englishhorn
59.0,60.0,61,D-4,1.0,0,15,4.0,englishhorn
60.0,60.75,63,E-4,0.75,0,16,1.0,englishhorn
60.75,61.0,65,F4,0.25,0,16,1.75,englishhorn
61.0,61.75,68,A-4,0.75,0,16,2.0,englishhorn
61.75,62.0,65,F4,0.25,0,16,2.75,englishhorn
62.0,64.0,63,E-4,2.0,0,16,3.0,englishhorn
64.0,64.75,65,F4,0.75,0,17,1.0,englishhorn
64.75,65.0,68,A-4,0.25,0,17,1.75,englishhorn
65.0,66.0,68,A-4,1.0,0,17,2.0,englishhorn
66.0,66.75,73,D-5,0.75,0,17,3.0,englishhorn
66.75,67.0,75,E-5,0.25,0,17,3.75,englishhorn
67.0,68.0,77,F5,1.0,0,17,4.0,englishhorn
68.0,68.75,75,E-5,0.75,0,18,1.0,englishhorn
68.75,69.0,73,D-5,0.25,0,18,1.75,englishhorn
69.0,69.5,75,E-5,0.5,0,18,2.0,englishhorn
69.5,70.0,70,B-4,0.5,0,18,2.5,englishhorn
70.0,72.0,73,D-5,2.0,0,18,3.0,englishhorn
138.0,138.75,65,F4,0.75,0,36,1.0,englishhorn
138.75,139.0,68,A-4,0.25,0,36,1.75,englishhorn
139.0,140.0,68,A-4,1.0,0,36,2.0,englishhorn
140.0,140.75,65,F4,0.75,0,36,3.0,englishhorn
140.75,141.0,63,E-4,0.25,0,36,3.75,englishhorn
141.0,142.0,61,D-4,1.0,0,36,4.0,englishhorn
142.0,142.75,63,E-4,0.75,0,37,1.0,englishhorn
142.75,143.0,65,F4,0.25,0,37,1.75,englishhorn
143.0,143.75,68,A-4,0.75,0,37,2.0,englishhorn
143.75,144.0,65,F4,0.25,0,37,2.75,englishhorn
144.0,144.5,63,E-4,0.5,0,37,3.0,englishhorn
144.5,146.0,68,A-4,1.5,0,37,3.5,englishhorn
146.0,146.75,65,F4,0.75,0,38,1.0,englishhorn
146.75,147.0,68,A-4,0.25,0,38,1.75,englishhorn
147.0,148.0,68,A-4,1.0,0,38,2.0,englishhorn
148.0,148.75,73,D-5,0.75,0,38,3.0,englishhorn
148.75,149.0,75,E-5,0.25,0,38,3.75,englishhorn
149.0,150.0,77,F5,1.0,0,38,4.0,englishhorn
150.0,150.75,75,E-5,0.75,0,39,1.0,englishhorn
150.75,151.0,73,D-5,0.25,0,39,1.75,englishhorn
151.0,151.5,75,E-5,0.5,0,39,2.0,englishhorn
151.5,152.0,70,B-4,0.5,0,39,2.5,englishhorn
152.0,154.0,73,D-5,2.0,0,39,3.0,englishhorn
400.0,400.75,65,F4,0.75,0,101,1.0,englishhorn
400.75,401.0,68,A-4,0.25,0,101,1.75,englishhorn
401.0,402.0,68,A-4,1.0,0,101,2.0,englishhorn
402.0,402.75,65,F4,0.75,0,101,3.0,englishhorn
402.75,403.0,63,E-4,0.25,0,101,3.75,englishhorn
403.0,404.0,61,D-4,1.0,0,101,4.0,englishhorn
404.0,404.75,63,E-4,0.75,0,102,1.0,englishhorn
404.75,405.0,65,F4,0.25,0,102,1.75,englishhorn
405.0,405.75,68,A-4,0.75,0,102,2.0,englishhorn
405.75,406.0,65,F4,0.25,0,102,2.75,englishhorn
406.0,408.0,63,E-4,2.0,0,102,3.0,englishhorn
408.0,408.75,65,F4,0.75,0,103,1.0,englishhorn
408.75,409.0,68,A-4,0.25,0,103,1.75,englishhorn
409.0,410.0,68,A-4,1.0,0,103,2.0,englishhorn
410.0,410.75,65,F4,0.75,0,103,3.0,englishhorn
410.75,411.0,63,E-4,0.25,0,103,3.75,englishhorn
411.0,412.0,61,D-4,1.0,0,103,4.0,englishhorn
412.0,412.5,63,E-4,0.5,0,104,1.0,englishhorn
412.5,413.0,65,F4,0.5,0,104,1.5,englishhorn
413.0,413.75,63,E-4,0.75,0,104,2.0,englishhorn
413.75,414.0,61,D-4,0.25,0,104,2.75,englishhorn
414.0,418.5,61,D-4,4.5,0,104,3.0,englishhorn
