onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
84.0,86.0,68,A-4,2.0,0,22,1.0,oboe2
86.0,88.0,67,G4,2.0,0,22,3.0,oboe2
88.0,90.0,68,A-4,2.0,0,23,1.0,oboe2
90.0,92.0,70,B-4,2.0,0,23,3.0,oboe2
92.0,94.0,70,B-4,2.0,0,24,1.0,oboe2
94.0,95.0,70,B-4,1.0,0,24,3.0,oboe2
95.0,96.0,72,C5,1.0,0,24,4.0,oboe2
96.0,100.0,68,A-4,4.0,0,25,1.0,oboe2
100.0,101.0,68,A-4,1.0,0,26,1.0,oboe2
178.0,178.33333333333334,76,E5,0.3333333333333333,0,46,3.0,oboe2
178.33333333333334,178.66666666666669,75,D#5,0.3333333333333333,0,46,3.333333333333333,oboe2
178.66666666666666,179.0,73,C#5,0.3333333333333333,0,46,3.6666666666666665,oboe2
179.0,180.5,73,C#5,1.5,0,46,4.0,oboe2
180.5,181.0,76,E5,0.5,0,46,1.5,oboe2
181.0,181.5,75,D#5,0.5,0,46,2.0,oboe2
181.5,182.0,73,C#5,0.5,0,46,2.5,oboe2
182.0,182.33333333333331,76,E5,0.3333333333333333,0,47,3.0,oboe2
182.33333333333331,182.66666666666669,75,D#5,0.3333333333333333,0,47,3.333333333333333,oboe2
182.66666666666663,183.0,73,C#5,0.3333333333333333,0,47,3.6666666666666665,oboe2
183.0,184.5,73,C#5,1.5,0,47,4.0,oboe2
184.5,185.0,76,E5,0.5,0,47,1.5,oboe2
185.0,185.5,75,D#5,0.5,0,47,2.0,oboe2
185.5,186.0,73,C#5,0.5,0,47,2.5,oboe2
186.0,186.33333333333331,71,B4,0.3333333333333333,0,48,3.0,oboe2
186.33333333333331,186.66666666666669,68,G#4,0.3333333333333333,0,48,3.333333333333333,oboe2
186.66666666666663,187.0,71,B4,0.3333333333333333,0,48,3.6666666666666665,oboe2
187.0,188.0,73,C#5,1.0,0,48,4.0,oboe2
188.0,188.25,69,A4,0.25,0,48,1.0,oboe2
188.25,188.5,73,C#5,0.25,0,48,1.25,oboe2
188.5,188.75,71,B4,0.25,0,48,1.5,oboe2
188.75,189.0,69,A4,0.25,0,48,1.75,oboe2
189.0,190.0,71,B4,1.0,0,48,2.0,oboe2
190.0,191.0,68,G#4,1.0,0,49,3.0,oboe2
191.0,191.33333333333331,71,B4,0.3333333333333333,0,49,4.0,oboe2
191.33333333333331,191.66666666666669,68,G#4,0.3333333333333333,0,49,4.333333333333333,oboe2
