onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.5,86,D6,1.5,0,1,1.0,violin1
1.5,2.0,74,D5,0.5,0,1,2.5,violin1
2.0,3.0,74,D5,1.0,0,1,3.0,violin1
6.0,7.5,81,A5,1.5,0,3,1.0,violin1
7.5,8.0,69,A4,0.5,0,3,2.5,violin1
8.0,9.0,69,A4,1.0,0,3,3.0,violin1
15.0,16.5,74,D5,1.5,0,6,1.0,violin1
16.5,17.0,62,D4,0.5,0,6,2.5,violin1
17.0,18.0,62,D4,1.0,0,6,3.0,violin1
60.0,61.5,86,D6,1.5,0,21,1.0,violin1
61.5,62.0,74,D5,0.5,0,21,2.5,violin1
62.0,63.0,74,D5,1.0,0,21,3.0,violin1
63.0,64.0,81,A5,1.0,0,22,1.0,violin1
64.0,65.0,83,B5,1.0,0,22,2.0,violin1
65.0,66.0,84,C6,1.0,0,22,3.0,violin1
66.0,67.0,83,B5,1.0,0,23,1.0,violin1
67.0,68.0,84,C6,1.0,0,23,2.0,violin1
68.0,69.0,86,D6,1.0,0,23,3.0,violin1
69.0,70.0,84,C6,1.0,0,24,1.0,violin1
70.0,71.0,83,B5,1.0,0,24,2.0,violin1
71.0,72.0,81,A5,1.0,0,24,3.0,violin1
72.0,73.0,82,B-5,1.0,0,25,1.0,violin1
73.0,74.0,81,A5,1.0,0,25,2.0,violin1
74.0,75.0,79,G5,1.0,0,25,3.0,violin1
75.0,76.0,77,F5,1.0,0,26,1.0,violin1
76.0,77.0,76,E5,1.0,0,26,2.0,violin1
77.0,78.0,74,D5,1.0,0,26,3.0,violin1
78.0,79.0,73,C#5,1.0,0,27,1.0,violin1
79.0,80.0,74,D5,1.0,0,27,2.0,violin1
80.0,81.0,76,E5,1.0,0,27,3.0,violin1
81.0,82.0,74,D5,1.0,0,28,1.0,violin1
82.0,83.0,73,C#5,1.0,0,28,2.0,violin1
83.0,84.0,74,D5,1.0,0,28,3.0,violin1
84.0,85.0,69,A4,1.0,0,29,1.0,violin1
85.0,86.0,81,A5,1.0,0,29,2.0,violin1
86.0,87.0,81,A5,1.0,0,29,3.0,violin1
87.0,88.0,81,A5,1.0,0,30,1.0,violin1
88.0,89.0,88,E6,1.0,0,30,2.0,violin1
89.0,90.0,88,E6,1.0,0,30,3.0,violin1
90.0,91.0,88,E6,1.0,0,31,1.0,violin1
91.0,92.0,88,E6,1.0,0,31,2.0,violin1
92.0,93.0,88,E6,1.0,0,31,3.0,violin1
93.0,94.0,88,E6,1.0,0,32,1.0,violin1
94.0,95.0,88,E6,1.0,0,32,2.0,violin1
95.0,96.0,81,A5,1.0,0,32,3.0,violin1
96.0,97.0,81,A5,1.0,0,33,1.0,violin1
97.0,98.0,81,A5,1.0,0,33,2.0,violin1
98.0,99.0,81,A5,1.0,0,33,3.0,violin1
99.0,100.0,81,A5,1.0,0,34,1.0,violin1
100.0,101.0,81,A5,1.0,0,34,2.0,violin1
101.0,102.0,81,A5,1.0,0,34,3.0,violin1
102.0,103.0,82,B-5,1.0,0,35,1.0,violin1
103.0,104.0,81,A5,1.0,0,35,2.0,violin1
104.0,105.0,79,G5,1.0,0,35,3.0,violin1
105.0,106.0,77,F5,1.0,0,36,1.0,violin1
106.0,107.0,76,E5,1.0,0,36,2.0,violin1
107.0,108.0,74,D5,1.0,0,36,3.0,violin1
108.0,109.0,77,F5,1.0,0,37,1.0,violin1
109.0,110.0,76,E5,1.0,0,37,2.0,violin1
110.0,111.0,74,D5,1.0,0,37,3.0,violin1
111.0,112.0,72,C5,1.0,0,38,1.0,violin1
112.0,113.0,71,B4,1.0,0,38,2.0,violin1
113.0,114.0,69,A4,1.0,0,38,3.0,violin1
114.0,115.0,68,G#4,1.0,0,39,1.0,violin1
115.0,116.0,69,A4,1.0,0,39,2.0,violin1
116.0,117.0,71,B4,1.0,0,39,3.0,violin1
117.0,118.0,69,A4,1.0,0,40,1.0,violin1
118.0,119.0,68,G#4,1.0,0,40,2.0,violin1
119.0,120.0,69,A4,1.0,0,40,3.0,violin1
120.0,121.0,73,C#5,1.0,0,41,1.0,violin1
121.0,122.0,74,D5,1.0,0,41,2.0,violin1
122.0,123.0,76,E5,1.0,0,41,3.0,violin1
123.0,124.0,77,F5,1.0,0,42,1.0,violin1
124.0,125.0,79,G5,1.0,0,42,2.0,violin1
125.0,126.0,81,A5,1.0,0,42,3.0,violin1
126.0,127.0,82,B-5,1.0,0,43,1.0,violin1
127.0,128.0,81,A5,1.0,0,43,2.0,violin1
128.0,129.0,79,G5,1.0,0,43,3.0,violin1
129.0,130.0,77,F5,1.0,0,44,1.0,violin1
130.0,131.0,76,E5,1.0,0,44,2.0,violin1
131.0,132.0,74,D5,1.0,0,44,3.0,violin1
132.0,133.0,73,C#5,1.0,0,45,1.0,violin1
133.0,134.0,74,D5,1.0,0,45,2.0,violin1
134.0,135.0,76,E5,1.0,0,45,3.0,violin1
135.0,136.0,74,D5,1.0,0,46,1.0,violin1
136.0,137.0,73,C#5,1.0,0,46,2.0,violin1
137.0,138.0,74,D5,1.0,0,46,3.0,violin1
138.0,139.0,73,C#5,1.0,0,47,1.0,violin1
139.0,140.0,74,D5,1.0,0,47,2.0,violin1
140.0,141.0,76,E5,1.0,0,47,3.0,violin1
141.0,142.0,74,D5,1.0,0,48,1.0,violin1
142.0,143.0,73,C#5,1.0,0,48,2.0,violin1
143.0,144.0,74,D5,1.0,0,48,3.0,violin1
144.0,145.0,73,C#5,1.0,0,49,1.0,violin1
