onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
18.125,18.1875,45,A2,0.0625,0,10,1.25,timpani
18.1875,18.25,45,A2,0.0625,0,10,1.375,timpani
18.25,18.375,45,A2,0.125,0,10,1.5,timpani
20.125,20.1875,45,A2,0.0625,0,11,1.25,timpani
20.1875,20.25,45,A2,0.0625,0,11,1.375,timpani
20.25,20.375,45,A2,0.125,0,11,1.5,timpani
22.125,22.1875,45,A2,0.0625,0,12,1.25,timpani
22.1875,22.25,45,A2,0.0625,0,12,1.375,timpani
22.25,22.375,45,A2,0.125,0,12,1.5,timpani
23.125,23.1875,45,A2,0.0625,0,12,3.25,timpani
23.1875,23.25,45,A2,0.0625,0,12,3.375,timpani
23.25,23.375,45,A2,0.125,0,12,3.5,timpani
40.25,40.375,52,E3,0.125,0,21,1.5,timpani
40.375,40.5,52,E3,0.125,0,21,1.75,timpani
40.5,40.625,52,E3,0.125,0,21,2.0,timpani
40.625,40.75,52,E3,0.125,0,21,2.25,timpani
40.75,40.875,52,E3,0.125,0,21,2.5,timpani
40.875,41.0,52,E3,0.125,0,21,2.75,timpani
41.0,42.0,52,E3,1.0,0,21,3.0,timpani
42.25,42.5,52,E3,0.25,0,22,1.5,timpani
42.75,43.0,47,B2,0.25,0,22,2.5,timpani
43.0,44.0,47,B2,1.0,0,22,3.0,timpani
44.0,44.5,47,B2,0.5,0,23,1.0,timpani
76.0,78.0,47,B2,2.0,0,39,1.0,timpani
78.0,78.5,47,B2,0.5,0,40,1.0,timpani
80.0,82.0,52,E3,2.0,0,41,1.0,timpani
82.0,82.5,52,E3,0.5,0,42,1.0,timpani
84.0,86.0,47,B2,2.0,0,43,1.0,timpani
86.0,86.5,47,B2,0.5,0,44,1.0,timpani
88.0,90.0,52,E3,2.0,0,45,1.0,timpani
90.0,90.5,52,E3,0.5,0,46,1.0,timpani
105.0,106.0,52,E3,1.0,0,53,2.0,timpani
107.0,108.0,52,E3,1.0,0,54,2.0,timpani
109.0,110.0,52,E3,1.0,0,55,2.0,timpani
111.0,112.0,52,E3,1.0,0,56,2.0,timpani
112.0,114.0,47,B2,2.0,0,57,1.0,timpani
114.0,116.0,47,B2,2.0,0,58,1.0,timpani
116.0,118.0,52,E3,2.0,0,59,1.0,timpani
118.0,120.0,52,E3,2.0,0,60,1.0,timpani
120.0,122.0,52,E3,2.0,0,61,1.0,timpani
122.0,124.0,52,E3,2.0,0,62,1.0,timpani
124.0,125.0,52,E3,1.0,0,63,1.0,timpani
125.5,126.0,47,B2,0.5,0,63,2.5,timpani
126.0,127.0,52,E3,1.0,0,64,1.0,timpani
127.5,128.0,47,B2,0.5,0,64,2.5,timpani
128.0,128.5,52,E3,0.5,0,65,1.0,timpani
131.5,132.0,52,E3,0.5,0,66,2.5,timpani
132.0,133.0,52,E3,1.0,0,67,1.0,timpani
135.5,136.0,52,E3,0.5,0,68,2.5,timpani
136.0,137.0,52,E3,1.0,0,69,1.0,timpani
139.5,140.0,52,E3,0.5,0,70,2.5,timpani
140.0,141.0,47,B2,1.0,0,71,1.0,timpani
143.5,144.0,47,B2,0.5,0,72,2.5,timpani
144.0,145.0,52,E3,1.0,0,73,1.0,timpani
145.0,145.5,52,E3,0.5,0,73,2.0,timpani
148.0,149.0,52,E3,1.0,0,75,1.0,timpani
149.0,149.5,52,E3,0.5,0,75,2.0,timpani
240.0,242.0,52,E3,2.0,0,121,1.0,timpani
242.0,244.0,52,E3,2.0,0,122,1.0,timpani
244.0,246.0,52,E3,2.0,0,123,1.0,timpani
246.0,248.0,52,E3,2.0,0,124,1.0,timpani
248.0,248.5,52,E3,0.5,0,125,1.0,timpani
340.0,342.0,47,B2,2.0,0,171,1.0,timpani
342.0,344.0,47,B2,2.0,0,172,1.0,timpani
344.0,346.0,47,B2,2.0,0,173,1.0,timpani
346.0,348.0,47,B2,2.0,0,174,1.0,timpani
348.0,348.5,52,E3,0.5,0,175,1.0,timpani
348.5,349.0,47,B2,0.5,0,175,1.5,timpani
349.0,349.5,47,B2,0.5,0,175,2.0,timpani
349.5,350.0,52,E3,0.5,0,175,2.5,timpani
350.0,350.5,47,B2,0.5,0,176,1.0,timpani
350.5,351.0,47,B2,0.5,0,176,1.5,timpani
351.0,351.5,47,B2,0.5,0,176,2.0,timpani
351.5,352.0,52,E3,0.5,0,176,2.5,timpani
352.0,352.5,47,B2,0.5,0,177,1.0,timpani
353.0,353.5,47,B2,0.5,0,177,2.0,timpani
354.0,354.25,47,B2,0.25,0,178,1.0,timpani
354.25,354.5,47,B2,0.25,0,178,1.25,timpani
390.0,392.0,47,B2,2.0,0,196,1.0,timpani
392.0,392.5,47,B2,0.5,0,197,1.0,timpani
394.0,396.0,52,E3,2.0,0,198,1.0,timpani
396.0,396.5,52,E3,0.5,0,199,1.0,timpani
398.0,400.0,47,B2,2.0,0,200,1.0,timpani
400.0,400.5,47,B2,0.5,0,201,1.0,timpani
402.0,404.0,52,E3,2.0,0,202,1.0,timpani
404.0,404.5,52,E3,0.5,0,203,1.0,timpani
419.0,420.0,52,E3,1.0,0,210,2.0,timpani
421.0,422.0,52,E3,1.0,0,211,2.0,timpani
423.0,424.0,52,E3,1.0,0,212,2.0,timpani
425.0,426.0,52,E3,1.0,0,213,2.0,timpani
426.0,428.0,47,B2,2.0,0,214,1.0,timpani
428.0,430.0,47,B2,2.0,0,215,1.0,timpani
430.0,432.0,52,E3,2.0,0,216,1.0,timpani
432.0,434.0,52,E3,2.0,0,217,1.0,timpani
434.0,436.0,52,E3,2.0,0,218,1.0,timpani
436.0,438.0,52,E3,2.0,0,219,1.0,timpani
438.0,439.0,52,E3,1.0,0,220,1.0,timpani
439.5,440.0,47,B2,0.5,0,220,2.5,timpani
440.0,441.0,52,E3,1.0,0,221,1.0,timpani
441.5,442.0,47,B2,0.5,0,221,2.5,timpani
442.0,442.5,52,E3,0.5,0,222,1.0,timpani
445.5,446.0,52,E3,0.5,0,223,2.5,timpani
446.0,447.0,52,E3,1.0,0,224,1.0,timpani
449.5,450.0,52,E3,0.5,0,225,2.5,timpani
450.0,451.0,52,E3,1.0,0,226,1.0,timpani
