onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
60.0,64.0,64,E4,4.0,0,21,1.0,horn4
72.0,76.0,64,E4,4.0,0,25,1.0,horn4
121.0,123.0,52,E3,2.0,0,41,2.0,horn4
123.0,125.0,52,E3,2.0,0,42,1.0,horn4
125.0,126.0,52,E3,1.0,0,42,3.0,horn4
126.0,127.0,52,E3,1.0,0,43,1.0,horn4
127.0,129.0,52,E3,2.0,0,43,2.0,horn4
129.0,131.0,52,E3,2.0,0,44,1.0,horn4
131.0,133.0,52,E3,2.0,0,44,3.0,horn4
133.0,135.0,64,E4,2.0,0,45,2.0,horn4
135.0,137.0,52,E3,2.0,0,46,1.0,horn4
137.0,139.0,52,E3,2.0,0,46,3.0,horn4
139.0,141.0,52,E3,2.0,0,47,2.0,horn4
141.0,143.0,52,E3,2.0,0,48,1.0,horn4
143.0,145.0,52,E3,2.0,0,48,3.0,horn4
145.0,145.5,59,B3,0.5,0,49,2.0,horn4
145.5,146.0,59,B3,0.5,0,49,2.5,horn4
146.0,147.0,59,B3,1.0,0,49,3.0,horn4
147.0,148.0,52,E3,1.0,0,50,1.0,horn4
148.0,149.0,52,E3,1.0,0,50,2.0,horn4
151.0,152.0,54,F#3,1.0,0,51,2.0,horn4
152.0,153.0,57,A3,1.0,0,51,3.0,horn4
153.0,153.5,55,G3,0.5,0,52,1.0,horn4
153.5,154.0,54,F#3,0.5,0,52,1.5,horn4
154.0,155.0,52,E3,1.0,0,52,2.0,horn4
157.0,157.5,59,B3,0.5,0,53,2.0,horn4
157.5,158.0,59,B3,0.5,0,53,2.5,horn4
158.0,159.0,59,B3,1.0,0,53,3.0,horn4
159.0,160.0,52,E3,1.0,0,54,1.0,horn4
160.0,161.0,52,E3,1.0,0,54,2.0,horn4
163.0,164.0,54,F#3,1.0,0,55,2.0,horn4
164.0,165.0,57,A3,1.0,0,55,3.0,horn4
165.0,165.5,52,E3,0.5,0,56,1.0,horn4
165.5,166.0,52,E3,0.5,0,56,1.5,horn4
166.0,167.0,52,E3,1.0,0,56,2.0,horn4
167.0,168.0,52,E3,1.0,0,56,3.0,horn4
168.0,168.5,52,E3,0.5,0,57,1.0,horn4
168.5,169.0,52,E3,0.5,0,57,1.5,horn4
169.0,170.0,52,E3,1.0,0,57,2.0,horn4
170.0,171.0,52,E3,1.0,0,57,3.0,horn4
171.0,171.5,52,E3,0.5,0,58,1.0,horn4
171.5,172.0,52,E3,0.5,0,58,1.5,horn4
172.0,173.0,52,E3,1.0,0,58,2.0,horn4
173.0,174.0,52,E3,1.0,0,58,3.0,horn4
174.0,175.0,52,E3,1.0,0,59,1.0,horn4
237.0,241.0,64,E4,4.0,0,21,1.0,horn4
249.0,253.0,64,E4,4.0,0,25,1.0,horn4
298.0,300.0,52,E3,2.0,0,41,2.0,horn4
300.0,302.0,52,E3,2.0,0,42,1.0,horn4
302.0,303.0,52,E3,1.0,0,42,3.0,horn4
303.0,304.0,52,E3,1.0,0,43,1.0,horn4
304.0,306.0,52,E3,2.0,0,43,2.0,horn4
306.0,308.0,52,E3,2.0,0,44,1.0,horn4
308.0,310.0,52,E3,2.0,0,44,3.0,horn4
310.0,312.0,64,E4,2.0,0,45,2.0,horn4
312.0,314.0,52,E3,2.0,0,46,1.0,horn4
314.0,316.0,52,E3,2.0,0,46,3.0,horn4
316.0,318.0,52,E3,2.0,0,47,2.0,horn4
318.0,320.0,52,E3,2.0,0,48,1.0,horn4
320.0,322.0,52,E3,2.0,0,48,3.0,horn4
322.0,322.5,59,B3,0.5,0,49,2.0,horn4
322.5,323.0,59,B3,0.5,0,49,2.5,horn4
323.0,324.0,59,B3,1.0,0,49,3.0,horn4
324.0,325.0,52,E3,1.0,0,50,1.0,horn4
325.0,326.0,52,E3,1.0,0,50,2.0,horn4
328.0,329.0,54,F#3,1.0,0,51,2.0,horn4
329.0,330.0,57,A3,1.0,0,51,3.0,horn4
330.0,330.5,55,G3,0.5,0,52,1.0,horn4
330.5,331.0,54,F#3,0.5,0,52,1.5,horn4
331.0,332.0,52,E3,1.0,0,52,2.0,horn4
334.0,334.5,59,B3,0.5,0,53,2.0,horn4
334.5,335.0,59,B3,0.5,0,53,2.5,horn4
335.0,336.0,59,B3,1.0,0,53,3.0,horn4
336.0,337.0,52,E3,1.0,0,54,1.0,horn4
337.0,338.0,52,E3,1.0,0,54,2.0,horn4
340.0,341.0,54,F#3,1.0,0,55,2.0,horn4
341.0,342.0,57,A3,1.0,0,55,3.0,horn4
342.0,342.5,52,E3,0.5,0,56,1.0,horn4
342.5,343.0,52,E3,0.5,0,56,1.5,horn4
343.0,344.0,52,E3,1.0,0,56,2.0,horn4
344.0,345.0,52,E3,1.0,0,56,3.0,horn4
345.0,345.5,52,E3,0.5,0,57,1.0,horn4
345.5,346.0,52,E3,0.5,0,57,1.5,horn4
346.0,347.0,52,E3,1.0,0,57,2.0,horn4
347.0,348.0,52,E3,1.0,0,57,3.0,horn4
348.0,348.5,52,E3,0.5,0,58,1.0,horn4
348.5,349.0,52,E3,0.5,0,58,1.5,horn4
349.0,350.0,52,E3,1.0,0,58,2.0,horn4
350.0,351.0,52,E3,1.0,0,58,3.0,horn4
351.0,352.0,52,E3,1.0,0,59,1.0,horn4
450.0,451.0,61,C#4,1.0,0,92,1.0,horn4
471.0,496.0,64,E4,25.0,0,99,1.0,horn4
525.0,531.0,47,B2,6.0,0,117,1.0,horn4
531.0,532.5,47,B2,1.5,0,119,1.0,horn4
532.5,533.0,48,C3,0.5,0,119,2.5,horn4
