onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.0,76,E5,1.0,0,1,1.0,violin2
6.0,7.0,71,B4,1.0,0,3,1.0,violin2
24.0,25.0,59,B3,1.0,0,9,1.0,violin2
27.0,28.0,59,B3,1.0,0,10,1.0,violin2
30.0,31.0,59,B3,1.0,0,11,1.0,violin2
33.0,34.0,59,B3,1.0,0,12,1.0,violin2
36.0,37.0,59,B3,1.0,0,13,1.0,violin2
39.0,40.0,59,B3,1.0,0,14,1.0,violin2
42.0,43.0,59,B3,1.0,0,15,1.0,violin2
45.0,46.0,59,B3,1.0,0,16,1.0,violin2
48.0,49.0,59,B3,1.0,0,17,1.0,violin2
51.0,52.0,59,B3,1.0,0,18,1.0,violin2
54.0,55.0,59,B3,1.0,0,19,1.0,violin2
57.0,58.0,59,B3,1.0,0,20,1.0,violin2
60.0,60.5,64,E4,0.5,0,21,1.0,violin2
60.5,61.0,66,F#4,0.5,0,21,1.5,violin2
61.0,61.5,67,G4,0.5,0,21,2.0,violin2
61.5,62.0,66,F#4,0.5,0,21,2.5,violin2
62.0,62.5,67,G4,0.5,0,21,3.0,violin2
62.5,63.0,69,A4,0.5,0,21,3.5,violin2
63.0,63.5,71,B4,0.5,0,22,1.0,violin2
63.5,64.0,74,D5,0.5,0,22,1.5,violin2
64.0,64.5,72,C5,0.5,0,22,2.0,violin2
64.5,65.0,71,B4,0.5,0,22,2.5,violin2
65.0,65.5,69,A4,0.5,0,22,3.0,violin2
65.5,66.0,67,G4,0.5,0,22,3.5,violin2
66.0,66.5,66,F#4,0.5,0,23,1.0,violin2
66.5,67.0,67,G4,0.5,0,23,1.5,violin2
67.0,67.5,69,A4,0.5,0,23,2.0,violin2
67.5,68.0,71,B4,0.5,0,23,2.5,violin2
68.0,68.5,72,C5,0.5,0,23,3.0,violin2
68.5,69.0,74,D5,0.5,0,23,3.5,violin2
69.0,69.5,71,B4,0.5,0,24,1.0,violin2
69.5,70.0,69,A4,0.5,0,24,1.5,violin2
70.0,70.5,67,G4,0.5,0,24,2.0,violin2
70.5,71.0,66,F#4,0.5,0,24,2.5,violin2
71.0,71.5,64,E4,0.5,0,24,3.0,violin2
71.5,72.0,66,F#4,0.5,0,24,3.5,violin2
72.0,72.5,64,E4,0.5,0,25,1.0,violin2
72.5,73.0,66,F#4,0.5,0,25,1.5,violin2
73.0,73.5,67,G4,0.5,0,25,2.0,violin2
73.5,74.0,66,F#4,0.5,0,25,2.5,violin2
74.0,74.5,67,G4,0.5,0,25,3.0,violin2
74.5,75.0,69,A4,0.5,0,25,3.5,violin2
75.0,75.5,71,B4,0.5,0,26,1.0,violin2
75.5,76.0,74,D5,0.5,0,26,1.5,violin2
76.0,76.5,72,C5,0.5,0,26,2.0,violin2
76.5,77.0,71,B4,0.5,0,26,2.5,violin2
77.0,77.5,69,A4,0.5,0,26,3.0,violin2
77.5,78.0,67,G4,0.5,0,26,3.5,violin2
78.0,78.5,66,F#4,0.5,0,27,1.0,violin2
78.5,79.0,67,G4,0.5,0,27,1.5,violin2
79.0,79.5,69,A4,0.5,0,27,2.0,violin2
79.5,80.0,71,B4,0.5,0,27,2.5,violin2
80.0,80.5,72,C5,0.5,0,27,3.0,violin2
80.5,81.0,74,D5,0.5,0,27,3.5,violin2
81.0,81.5,71,B4,0.5,0,28,1.0,violin2
81.5,82.0,69,A4,0.5,0,28,1.5,violin2
82.0,82.5,67,G4,0.5,0,28,2.0,violin2
82.5,83.0,66,F#4,0.5,0,28,2.5,violin2
83.0,83.5,64,E4,0.5,0,28,3.0,violin2
83.5,84.0,66,F#4,0.5,0,28,3.5,violin2
84.0,84.5,64,E4,0.5,0,29,1.0,violin2
97.0,97.5,63,D#4,0.5,0,33,2.0,violin2
97.5,98.0,63,D#4,0.5,0,33,2.5,violin2
98.0,99.0,64,E4,1.0,0,33,3.0,violin2
99.0,100.0,63,D#4,1.0,0,34,1.0,violin2
100.0,101.0,63,D#4,1.0,0,34,2.0,violin2
101.0,102.0,64,E4,1.0,0,34,3.0,violin2
102.0,102.5,63,D#4,0.5,0,35,1.0,violin2
102.5,103.0,63,D#4,0.5,0,35,1.5,violin2
103.0,104.0,64,E4,1.0,0,35,2.0,violin2
104.0,105.0,59,B3,1.0,0,35,3.0,violin2
105.0,106.0,59,B3,1.0,0,36,1.0,violin2
106.0,107.0,59,B3,1.0,0,36,2.0,violin2
107.0,108.0,59,B3,1.0,0,36,3.0,violin2
108.0,109.0,59,B3,1.0,0,37,1.0,violin2
109.0,109.5,75,D#5,0.5,0,37,2.0,violin2
109.5,110.0,75,D#5,0.5,0,37,2.5,violin2
110.0,111.0,71,B4,1.0,0,37,3.0,violin2
111.0,112.0,75,D#5,1.0,0,38,1.0,violin2
112.0,113.0,75,D#5,1.0,0,38,2.0,violin2
113.0,114.0,71,B4,1.0,0,38,3.0,violin2
114.0,114.5,75,D#5,0.5,0,39,1.0,violin2
114.5,115.0,75,D#5,0.5,0,39,1.5,violin2
115.0,116.0,71,B4,1.0,0,39,2.0,violin2
116.0,117.0,79,G5,1.0,0,39,3.0,violin2
117.0,118.0,76,E5,1.0,0,40,1.0,violin2
118.0,119.0,79,G5,1.0,0,40,2.0,violin2
119.0,120.0,76,E5,1.0,0,40,3.0,violin2
120.0,121.0,79,G5,1.0,0,41,1.0,violin2
121.0,121.5,83,B5,0.5,0,41,2.0,violin2
121.5,122.0,83,B5,0.5,0,41,2.5,violin2
122.0,123.0,83,B5,1.0,0,41,3.0,violin2
123.0,124.0,76,E5,1.0,0,42,1.0,violin2
124.0,125.0,76,E5,1.0,0,42,2.0,violin2
127.0,128.0,78,F#5,1.0,0,43,2.0,violin2
128.0,129.0,81,A5,1.0,0,43,3.0,violin2
129.0,129.5,79,G5,0.5,0,44,1.0,violin2
129.5,130.0,78,F#5,0.5,0,44,1.5,violin2
130.0,131.0,76,E5,1.0,0,44,2.0,violin2
133.0,133.5,83,B5,0.5,0,45,2.0,violin2
133.5,134.0,83,B5,0.5,0,45,2.5,violin2
134.0,135.0,83,B5,1.0,0,45,3.0,violin2
135.0,136.0,76,E5,1.0,0,46,1.0,violin2
136.0,137.0,76,E5,1.0,0,46,2.0,violin2
139.0,140.0,78,F#5,1.0,0,47,2.0,violin2
140.0,141.0,81,A5,1.0,0,47,3.0,violin2
141.0,141.5,79,G5,0.5,0,48,1.0,violin2
141.5,142.0,78,F#5,0.5,0,48,1.5,violin2
