onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
23.5,24.0,65,F4,0.5,0,6,4.5,horn4
24.0,25.0,65,F4,1.0,0,7,1.0,horn4
25.0,25.5,65,F4,0.5,0,7,2.0,horn4
25.5,26.0,65,F4,0.5,0,7,2.5,horn4
26.0,27.0,65,F4,1.0,0,7,3.0,horn4
43.0,44.0,65,F4,1.0,0,11,4.0,horn4
44.0,46.0,65,F4,2.0,0,12,1.0,horn4
46.0,47.0,65,F4,1.0,0,12,3.0,horn4
58.5,59.0,58,B-3,0.5,0,15,3.5,horn4
59.0,59.5,63,E-4,0.5,0,15,4.0,horn4
59.5,59.75,58,B-3,0.25,0,15,4.5,horn4
59.75,60.0,55,G3,0.25,0,15,4.75,horn4
60.0,60.5,51,E-3,0.5,0,16,1.0,horn4
60.5,61.0,58,B-3,0.5,0,16,1.5,horn4
61.0,61.5,58,B-3,0.5,0,16,2.0,horn4
61.5,62.0,58,B-3,0.5,0,16,2.5,horn4
62.0,62.5,58,B-3,0.5,0,16,3.0,horn4
62.5,63.0,58,B-3,0.5,0,16,3.5,horn4
63.0,63.5,58,B-3,0.5,0,16,4.0,horn4
63.5,64.0,58,B-3,0.5,0,16,4.5,horn4
64.0,64.5,58,B-3,0.5,0,17,1.0,horn4
71.0,72.0,65,F4,1.0,0,18,4.0,horn4
72.0,73.5,65,F4,1.5,0,19,1.0,horn4
73.5,74.0,65,F4,0.5,0,19,2.5,horn4
74.0,75.0,65,F4,1.0,0,19,3.0,horn4
75.0,75.5,65,F4,0.5,0,19,4.0,horn4
75.5,76.0,65,F4,0.5,0,19,4.5,horn4
76.0,77.5,65,F4,1.5,0,20,1.0,horn4
77.5,78.0,65,F4,0.5,0,20,2.5,horn4
78.0,78.5,58,B-3,0.5,0,20,3.0,horn4
78.5,79.0,58,B-3,0.5,0,20,3.5,horn4
79.0,79.5,51,E-3,0.5,0,20,4.0,horn4
84.5,85.0,65,F4,0.5,0,22,1.5,horn4
85.0,85.5,65,F4,0.5,0,22,2.0,horn4
