onset,offset,role
7,21,mel
51,71,mel
72,74,mel+rhythm
86,88,mel+rhythm
88,105,harm
134,144,mel+rhythm
146,158,mel
179,188,mel+harm
219,223,harm
223,240,mel
240,250,rhythm
261,263,rhythm
269,272,rhythm+harm
560,672,mel
672,698,harm
698,708,mel
727,732,mel
732,736,rhythm+harm
738,760,mel
801,804,rhythm+harm
822,823,rhythm+harm
823,839,mel
935,942,rhythm
942,950,mel
1015,1045,rhythm
1045,1062,mel
1079,1096,harm
1126,1158,mel
1158,1166,mel
1166,1179,rhythm
1199,1331,rhythm
1331,1499,rhythm
1511,1530,mel
1562,1595,rhythm
1595,1613,rhythm
1613,1619,mel
1619,1637,rhythm
1637,1643,rhythm
1676,1685,rhythm
1685,1715,mel
1715,1736,mel
1736,1757,rhythm
1757,1782,rhythm
1793,1799,mel
1811,1817,mel
1835,1991,mel
2043,2089,mel+harm
2135,2183,mel+harm
2183,2209,harm
2209,2281,mel+harm
2283,2305,rhythm+harm
2323,2353,rhythm
2404,2452,rhythm
2452,2500,rhythm+harm
2500,2536,mel+harm
2536,2581,rhythm+harm
2590,2608,rhythm
2611,2632,mel+rhythm
2632,2680,rhythm+harm
2680,2734,mel+rhythm
2737,2806,rhythm+harm
2806,2896,rhythm
2896,2932,rhythm+harm
2956,2980,mel+rhythm
3020,3029,harm
3036,3045,rhythm
3060,3076,harm
3076,3100,rhythm
3100,3156,rhythm
3156,3176,mel+rhythm
3176,3192,mel
3192,3208,rhythm+harm
3208,3216,rhythm
3216,3240,mel+rhythm
3240,3261,mel+rhythm
3261,3275,mel
3278,3279,rhythm+harm
3285,3301,harm
3304,3316,rhythm+harm
3349,3356,mel+rhythm
3356,3372,mel
3372,3396,mel
3428,3440,mel
3440,3444,harm
3444,3472,mel
3472,3532,rhythm+harm
3532,3544,rhythm
3544,3550,rhythm+harm
3550,3560,rhythm
3560,3564,rhythm+harm
3564,3616,rhythm
3616,3622,rhythm+harm
3622,3628,mel+rhythm+harm
3628,3644,mel
3644,3660,mel+rhythm
3660,3692,rhythm+harm
3692,3712,mel+rhythm
