onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
4.0,4.5,82,B-5,0.5,0,2,2.0,flute
10.0,10.5,84,C6,0.5,0,4,2.0,flute
24.0,25.25,81,A5,1.25,0,9,1.0,flute
25.25,25.375,82,B-5,0.125,0,9,2.25,flute
25.375,25.5,81,A5,0.125,0,9,2.375,flute
25.5,25.625,80,G#5,0.125,0,9,2.5,flute
25.625,25.75,81,A5,0.125,0,9,2.625,flute
25.75,25.875,80,G#5,0.125,0,9,2.75,flute
25.875,26.0,81,A5,0.125,0,9,2.875,flute
26.0,26.25,84,C6,0.25,0,9,3.0,flute
26.25,26.5,82,B-5,0.25,0,9,3.25,flute
26.5,26.75,81,A5,0.25,0,9,3.5,flute
26.75,27.0,79,G5,0.25,0,9,3.75,flute
27.0,27.375,84,C6,0.375,0,10,1.0,flute
27.375,27.5,81,A5,0.125,0,10,1.375,flute
27.5,28.5,77,F5,1.0,0,10,1.5,flute
28.5,28.75,79,G5,0.25,0,10,2.5,flute
28.75,29.0,81,A5,0.25,0,10,2.75,flute
29.0,29.25,81,A5,0.25,0,10,3.0,flute
29.25,29.5,79,G5,0.25,0,10,3.25,flute
29.5,29.75,77,F5,0.25,0,10,3.5,flute
29.75,30.0,76,E5,0.25,0,10,3.75,flute
30.0,31.0,77,F5,1.0,0,11,1.0,flute
54.0,57.0,84,C6,3.0,0,19,1.0,flute
57.0,58.0,80,A-5,1.0,0,20,1.0,flute
60.0,63.0,86,D6,3.0,0,21,1.0,flute
63.0,64.0,84,C6,1.0,0,22,1.0,flute
64.5,65.0,72,C5,0.5,0,22,2.5,flute
65.0,65.5,75,E-5,0.5,0,22,3.0,flute
65.5,66.0,79,G5,0.5,0,22,3.5,flute
66.0,68.0,84,C6,2.0,0,23,1.0,flute
68.0,69.0,85,D-6,1.0,0,23,3.0,flute
69.0,70.0,86,D6,1.0,0,24,1.0,flute
70.0,71.0,87,E-6,1.0,0,24,2.0,flute
71.0,73.0,88,E6,2.0,0,24,3.0,flute
73.0,75.0,89,F6,2.0,0,25,2.0,flute
75.0,76.0,90,F#6,1.0,0,26,1.0,flute
76.0,77.0,84,C6,1.0,0,26,2.0,flute
77.0,78.0,78,F#5,1.0,0,26,3.0,flute
78.0,79.0,78,F#5,1.0,0,27,1.0,flute
79.0,79.5,79,G5,0.5,0,27,2.0,flute
85.5,86.0,79,G5,0.5,0,29,2.5,flute
86.0,86.5,79,G5,0.5,0,29,3.0,flute
86.5,87.0,79,G5,0.5,0,29,3.5,flute
87.0,91.0,79,G5,4.0,0,30,1.0,flute
91.5,92.0,84,C6,0.5,0,31,2.5,flute
92.0,92.5,84,C6,0.5,0,31,3.0,flute
92.5,93.0,84,C6,0.5,0,31,3.5,flute
619/6,310/3,87,E-6,1/6,0,35,13/6,flute
310/3,207/2,86,D6,1/6,0,35,7/3,flute
103.5,103.66666666666667,86,D6,1/6,0,35,2.5,flute
311/3,623/6,86,D6,1/6,0,35,8/3,flute
623/6,104,86,D6,1/6,0,35,17/6,flute
104.0,104.5,86,D6,0.5,0,35,3.0,flute
104.5,105.0,79,G5,0.5,0,35,3.5,flute
631/6,316/3,85,D-6,1/6,0,36,7/6,flute
316/3,211/2,84,C6,1/6,0,36,4/3,flute
105.5,105.66666666666667,84,C6,1/6,0,36,1.5,flute
317/3,635/6,84,C6,1/6,0,36,5/3,flute
635/6,106,84,C6,1/6,0,36,11/6,flute
106.0,106.5,84,C6,0.5,0,36,2.0,flute
106.5,107.0,77,F5,0.5,0,36,2.5,flute
110.0,110.5,85,D-6,0.5,0,37,3.0,flute
110.5,111.0,86,D6,0.5,0,37,3.5,flute
111.0,111.5,88,E6,0.5,0,38,1.0,flute
111.5,112.0,89,F6,0.5,0,38,1.5,flute
112.0,112.5,88,E6,0.5,0,38,2.0,flute
112.5,113.0,86,D6,0.5,0,38,2.5,flute
113.0,113.5,84,C6,0.5,0,38,3.0,flute
113.5,114.0,83,B5,0.5,0,38,3.5,flute
114.0,115.0,84,C6,1.0,0,39,1.0,flute
117.5,118.0,88,E6,0.5,0,40,1.5,flute
118.0,118.5,84,C6,0.5,0,40,2.0,flute
118.5,119.16666666666667,79,G5,0.6666666666666666,0,40,2.5,flute
715/6,358/3,78,F#5,1/6,0,40,19/6,flute
358/3,239/2,79,G5,1/6,0,40,10/3,flute
119.5,119.66666666666667,80,G#5,1/6,0,40,3.5,flute
359/3,719/6,81,A5,1/6,0,40,11/3,flute
719/6,120,77,F5,1/6,0,40,23/6,flute
120.0,120.5,76,E5,0.5,0,41,1.0,flute
123.5,124.0,84,C6,0.5,0,42,1.5,flute
124.0,124.5,79,G5,0.5,0,42,2.0,flute
124.5,125.16666666666667,76,E5,0.6666666666666666,0,42,2.5,flute
751/6,376/3,74,D5,1/6,0,42,19/6,flute
